summary_llmanswer,ground_truth,question,llm_answer
A,A,"you need to put the nic into listening mode on your linux box , capture packets , and write the results to a log file named my.log . how do you accomplish this with tcpdump ? a. tcpdump -i eth0 -w my.log b. tcpdump -l eth0 -c my.log c. tcpdump /i eth0 /w my.log d. tcpdump /l eth0 /c my.log","the correct answer is a. tcpdump syntax is simple : tcpdump flag ( s ) interface . the -i flag specifies the interface ( in this example , eth0 ) for tcpdump to listen on , and the -w flag defines where you want your packet log to go . for your own study , be aware that many study references—including ec-council ’ s official reference books—state that the -i flag “ puts the interface into listening mode. ” it doesn ’ t actually modify the interface at all , so this is a little bit of a misnomer—it just identifies to tcpdump which interface to listen on for traffic . also , be aware that the -w flag dumps traffic in binary format . if you want the traffic to be readable , you ’ ll need to have it display onscreen . better yet , you can dump it to a file using the | designator and a filename ."
"A,B,E,F","A,B,E,F",which of the following tools can assist with ids evasion ? ( choose all that apply . ) a. whisker b. fragroute c. capsa d. wireshark e. admmutate f. inundator,"the correct answer is a , b , e , f. ids evasion comes down to a few methods : encryption , flooding , and fragmentation ( session splicing ) . whisker is an http scanning tool , but it also has the ability to craft session-splicing fragments . fragroute intercepts , modifies , and rewrites egress traffic destined for the specified host and can be used to fragment an attack payload over multiple packets . admmutate can create multiple scripts that won ’ t be easily recognizable by signature files , and inundator is a flooding tool that can help you hide in the cover fire ."
A,A,"a security administrator is attempting to “ lock down ” her network and blocks access from internal to external on all external firewall ports except for tcp 80 and tcp 443 . an internal user wants to make use of other protocols to access services on remote systems ( ftp , as well as some nonstandard port numbers ) . which of the following is the most likely choice the user could attempt to communicate with the remote systems over the protocol of her choice ? a . use http tunneling . b . send all traffic over udp instead of tcp . c. crack the firewall and open the ports required for communication . d. mac flood the switch connected to the firewall .","the correct answer is a . if you happen to own ceh certified ethical hacker all-in-one exam guide , fifth edition , the companion book to this practice exams tome , you ’ re undoubtedly aware by now i harp on protocols not necessarily being tied to a given port number in the real world . sure , ftp is supposed to be on tcp port 21 , smtp is supposed to ride on 25 , and telnet is supposed to be on 23 , but the dirty little truth is they don ’ t have to . an http tunnel is a brilliant example of this . to the firewall and everyone else watching , traffic from your machine is riding harmless little old port 80—nothing to see here folks , just plain-old , regular http traffic . but a peek inside that harmless little tunnel shows you can run anything you want . typically , you connect to an external server over port 80 , and it will unwrap and forward your other protocol traffic for you , once you ’ ve gotten it past your pesky firewall ."
B,B,"an ethical hacker is assigned to scan a server and wants to avoid ids detection . she uses a tactic wherein the tcp header is split into many packets , making it difficult to detect what the packets are intended for . which of the following best describes the technique employed ? a. tcp scanning b. ip fragment scanning c. ack scanning d. inverse tcp scanning","the correct answer is b . there are several methods to attempt evasion of an ids , and an ip fragmentation scan is but one of them . it works by splitting the original tcp header into multiple , smaller packets . each of those smaller packets , on its own , means a whole lot of nothing to the ids , but when reassembled at the destination can , for example , scan traffic ( which is this case here ) . this is not to say it ’ s always going to work—almost nothing is foolproof—but i can almost guarantee you ’ ll see this particular evasion technique on your exam somewhere ."
A,A,"in nmap , the url script can be used to test for potentially risky http options supported by a target . which of the following methods would be considered risky per the script ? a. connect b . get c. post d. head","the correct answer is a . the url script usage syntax is nmap -- script url < target > , where < target > is the ip of the system you ’ re after . per nmap ’ s support pages ( url this script “ finds out what options are supported by an http server by sending an options request and lists potentially risky methods . it tests those methods not mentioned in the options headers individually and sees if they are implemented . any output other than 501/405 suggests that the method is not in the range 400 to 600 . if the response falls under that range then it is compared to the response from a randomly generated method . in this script , ‘ potentially risky ’ methods are anything except get , head , post , and options . if the script reports potentially risky methods , they may not all be security risks , but you should check to make sure. ” you can also use additional parameters , such as url-path , to further hone your results . for example , output from the preceding syntax showing put as a risky method might look like this : port state service reason 80/tcp open http syn-ack | url |_ supported methods : get put head post options ..... quite obviously , there is a lot of information tested in this one question—and many , many ways you might see it on the exam . the http options themselves will show up somewhere , so knowing the difference , for example , between http post ( submits data to be processed and is normally allowable ) and http put ( allows a client to upload new files on the web server , which normally shouldn ’ t be allowed ) will become very important to your success . according to owasp , the following options are important to know : • put this method allows a client to upload new files on the web server . an attacker can exploit it by uploading malicious files ( for example , an .asp file that executes commands by invoking cmd.exe ) or by simply using the victim ’ s server as a file repository . • delete this method allows a client to delete a file on the web server . an attacker can exploit it as a very simple and direct way to deface a website or to mount a dos attack . connect this method could allow a client to use the web server as a proxy . • trace this method simply echoes back to the client whatever string has been sent to the server , and it ’ s used mainly for debugging purposes . this method , originally assumed harmless , can be used to mount an attack known as cross-site tracing ."
A,A,"bob is notified of what appears to be a denial-of-service attack against a system in his environment . on investigation , bob discovers the target system is receiving overwhelming numbers of dns responses for an ip resolution . which of the following is the most likely attack ? a. dns amplification b. dns server hijacking c. ssrf d. metasploit nops module","the correct answer is a . a dns amplification attack is exactly what it sounds like : an attacker takes advantage of recursive dns to flood a target with dns responses . basically , the bad guy sets up a botnet and , when ready to go , has the zombie systems send dns resolution requests as if they came from the target . dns does what it ’ s supposed to do , and the target is flooded with dns responses ."
D,D,a web application developer wants to test a new application for security flaws . which of the following is a method of testing input variations by using randomly generated invalid input in an attempt to crash the program ? a. insploit b. finglonger c. metasplation d. fuzzing,"the correct answer is d. even if you didn ’ t know what “ fuzzing ” meant , you probably could ’ ve whittled this down by eliminating the known wrong answers . per owasp ( url .owasp.org/index.php/fuzzing ) , “ fuzz testing or fuzzing is a black box software testing technique , which basically consists in finding implementation bugs using malformed/semi-malformed data injection in an automated fashion. ” in other words , fuzzing sends tons of weird inputs into fields to see what the application will do . as an aside , you would find fuzzing in the verification phase of microsoft ’ s security development lifecycle ( sdl ) . the entire sdl consists of training , requirements , design , implementation , verification , release , and response . as a quick aside , fuzzing isn ’ t necessarily a “ random ” process—it ’ s more an effort of controlled chaos ."
A,A,which of the following uses html entities properly to represent < script > ? a . & lt ; script & gt ; b . & # 40 ; script & # 41 ; c. & amp ; script & amp ; d. & quot ; script & quot ;,"the correct answer is a. cross-site scripting generally relies on web pages not properly validating user input , and html entities can be used to take the place of certain characters . in this case , the less-than sign ( < ) and the greater-than sign ( > ) surround the word script . respectively , the appropriate html entities are & lt ; and & gt ; ( the lt and gt should give this away ) ."
C,C,"an attacker tricks a user into visiting a malicious website via a phishing e-mail . the user clicks the e-mail link and visits the malicious website while maintaining an active , authenticated session with his bank . the attacker , through the malicious website , then instructs the user ’ s web browser to send requests to the bank website . which of the following best describes this attack ? a. cspp b. xss c. csrf d. hidden form field","the correct answer is c. there are few guarantees in life , but here ’ s one : you will definitely be asked about cross-site request forgery ( csrf ) on your exam . a csrf attack is exactly what ’ s being described here—an attacker takes advantage of an open , active , authenticated session between the victim and a trusted site , sending message requests to the trusted site as if they are coming from the victim ’ s own browser . usually this involves phishing , or maybe an advertisement , but the principle is always the same . csrf attacks can be prevented by configuring random challenge tokens , which allow the server to verify user requests . as an aside , a similar attack is known as session fixation . the attacker logs into a legitimate site , pulls a session id , and then sends an e-mail with a link containing the fixed session id . when the user clicks it and logs in to the same legitimate site , the hacker then logs in and runs with the user ’ s credentials ."
D,D,which of the following is used by soap services to format information ? a. unicode b. html entities c. ntfs d. xml,"the correct answer is d. simple object access protocol ( soap ) is a protocol designed for exchanging structured information within web services across multiple variant systems . in other words , it ’ s a way for a program running in one kind of operating system ( let ’ s say windows server 2019 or 2020 ) to communicate with a program on another ( such as linux ) . it uses http and xml to exchange information and specifies how to encode http headers and xml files so that applications can talk to each other . one great advantage to this is also a great detriment , security-wise : because http is generally allowed through most firewalls , applications using soap can generally communicate at will throughout networks . soap injection attacks allow you to inject malicious query strings ( much like sql injection , as a matter of fact ) that might give you the means to bypass authentication and access databases behind the scenes . soap is compatible with http and smtp , and messages are typically one-way in nature ."
A,A,a web application developer is discussing security flaws discovered in a new application prior to production release . he suggests to the team that they modify the software to ensure users are not allowed to enter html as input into the application . which of the following is most likely the vulnerability the developer is attempting to mitigate against ? a. cross-site scripting b. cross-site request forgery c. connection string parameter pollution d. phishing,"the correct answer is a. xss flaws occur whenever an application takes untrusted data and sends it to a web browser without proper validation or escaping . the basics of this attack revolve around website design ( or web application design on that site ) , dynamic content , and invalidated input data . usually when a web form pops up , the user inputs something , and then some script dynamically changes the appearance or behavior of the website based on what has been entered . xss occurs when the bad guys take advantage of that scripting ( java , for instance ) and have it perform something other than the intended response . for example , suppose instead of entering what you ’ re supposed to enter in a form field , you enter an actual script . the server then does what it ’ s supposed to—it processes the code sent from an authorized user . the best defense against this is proper design and good input validation before the app ever sees production in the first place ."
C,C,which of the following is a common soa vulnerability ? a. sql injection b. xss c. xml denial of service d. cgi manipulation,"the correct answer is c. service-oriented architecture ( soa ) is a software design idea that is based on specific pieces of software providing functionality as services between applications . the idea is to define how two applications can interact so that one can perform a piece of work for the other ( or , better said , on behalf of the other ) . each interaction is independent of any other and is self-contained . soa programmers make extensive use of xml to carry all this out , and that leaves the application vulnerable to crafty xml tampering . if an attacker can somehow pass an xml message with a large payload , or any of a number of other bad content , they can perform an xml denialof-service attack on an soa application . this isn ’ t to imply it ’ s the only type of dos available or that soa is uniquely vulnerable ( for instance , the only thing a specifically crafted xml attack can affect ) . it ’ s just a question , so don ’ t read too much into it ."
B,B,the source code of software used by your client seems to have a large number of gets ( ) alongside sparsely used fgets ( ) . what kind of attack is this software potentially susceptible to ? a. sql injection b . buffer overflow c. parameter tampering d. cookie manipulation,"the correct answer is b . a buffer overflow is an attempt to write more data into an application ’ s prebuilt buffer area in order to overwrite adjacent memory , execute code , or crash a system ( application ) . by inputting more data than the buffer is allocated to hold , you may be able to crash the application or machine or alter the application ’ s data pointers . gets ( ) is a common source of buffer overflow vulnerabilities because it reads a line from standard input into a buffer until a terminating eof is found . it performs no check for buffer overrun and has been largely replaced by fgets ( ) . also , technically speaking , there is oftentimes no length to check for—it just writes until it reaches a termination point ."
C,C,which of the following would be the best choice in the prevention of xss ? a . challenge tokens b . memory use controls c. httponly flag in cookies d. removing hidden form fields,"the correct answer is c. in addition to input validation controls ( always good for bunches of vulnerability mitigations ) , setting the httponly flag in cookies can be used in mitigation against some xss attacks . cross-site scripting occurs when an attacker interjects code into a web page form field that does not have appropriate input validation configured . the httponly cookie flag can stop any injected code from being accessible by a client-side script . per owasp , if the httponly flag is included in the http response header , the cookie can not be accessed through client-side script . as a result , even if a cross-site scripting flaw exists , and a user accidentally accesses a link that exploits this flaw , the browser ( primarily internet explorer ) will not reveal the cookie to a third party ."
B,B,you are examining log files and come across this url : url 74 % 63 % 2f % 70 % 61 % 73 % 73 % 77 % 64which of the following best describes this potential attack ? a . this is not an attack but a return of ssl handshakes . b . an attacker appears to be using unicode . c. this appears to be a buffer overflow attempt . d. this appears to be an xss attempt .,"the correct answer is b. unicode is just another way to represent text , so why not use it to try to get past an ids ? of course , in the real world , every ids would probably be looking for weird unicode requests anyway ( it isn ’ t ciphered or encrypted and really does nothing more than provide a cursory obfuscation ) , but let ’ s just stick with ec-council and the ceh exam here for now . this request appears to be attempting a grab of some passwords : % 2e % 2e % 2f % 2e % 2e % 2f % 2e % 2f % = .. / .. / .. / % 65 % 74 % 63 = etc % 2f = / % 70 % 61 % 73 % 73 % 77 % 64 = passwd"
B,B,which msfconsole command allows you to connect to a host from within the console ? a. pivot b. connect c. get d. route,"the correct answer is b . questions on metasploit can be very generalized or—like this question—pretty darn specific . msfconsole , opened with the msfconsole command , is a common method of interfacing with metasploit . as put by offensive security , it provides an “ all-in-one ” centralized console and allows you efficient access to virtually all of the options available in the msf , and it ’ s the only supported way to access most of the features within metasploit . commands used in the interface are listed and discussed pretty well on offensive security ’ s site ( url metasploit-unleashed/msfconsole-commands/ ) . the connect command acts like a miniature netcat clone , supporting ssl , proxies , pivoting , and file sends . by issuing the connect command with an ip address and port number , you can connect to a remote host from within msfconsole the same as you would with netcat or telnet . in addition to msfconsole , you should also know that the metasploit architecture holds five modules : exploits , payloads , encoders , nops , and auxiliary . exploits is the basic module , used to encapsulate ( and configure behaviors for ) an exploit . payloads establishes a communication channel between metasploit and the target . auxiliary is used to run things like port scanning and fuzzing ."
D,D,which character is your best option in testing for sql injection vulnerability ? a . the @ symbol b . a double dash c. the + sign d. a single quote,"the correct answer is d. sql injection is all about entering queries and commands into a form field ( or url ) to elicit a response , gain information , or manipulate data . on a web page , many times entries into a form field are inserted into a sql command . when you enter your username and information into the fields and click the button , the sql command in the background might read something like this : select orderid , firstname , lastname from orders in sql , a single quote is used to indicate an upcoming character string . once sql sees that open quote , it starts parsing everything after it as string input . if there ’ s no close quote , an error occurs because sql doesn ’ t know what to do with the submitted characters . if the web page is configured poorly , that error will return to you and let you know it ’ s time to start injecting sql commands ."
A,A,"an angry former employee of the organization discovers a web form vulnerable to sql injection . using the injection string select * from orders_pend where location_ city = 'orlando ' , he is able to see all pending orders from orlando . if he wanted to delete the orders_pend table altogether , which sql injection string should he use ? a . select * from orders_pend where location_city = orlando ' ; drop table orders_pend -- b . select * from orders_pend where 'orlando ' ; drop_table -- c. drop table orders_pend where 'orlando = 1 ' -- d. where location_city = orlando ' 1 = 1 ' : drop_table --","the correct answer is a. sql queries usually read pretty straightforward , although they can get complicated rather quickly . in this case , you ’ re telling the database , “ can you check the table orders_pend and see whether there ’ s a city called orlando ? oh , by the way , since you ’ re executing any command i send anyway , just go ahead and drop the table called orders_pend while you ’ re at it. ” the only thing missing from sql queries is a thank-you at the end . as an aside , you can easily restrict which sql verbs any user can make use of ( through ddl and dmal statements ) , and you should . allowing all users to drop tables and the like is akin to making your standard user a domain administrator ; it ’ s a rather dumb idea !"
C,C,efforts to gain information from a target website have produced the following error message : microsoft ole db provider for odbc drivers error '80040e08 ' [ microsoft ] { obdc sql server driver } which of the following best describes the error message ? a . the site may be vulnerable to xss . b . the site may be vulnerable to buffer overflow . c. the site may be vulnerable to sql injection . d. the site may be vulnerable to a malware injection .,"the correct answer is c. once again , you will get a few “ gim me ” questions on the exam . the error message clearly displays a sql error , telling us there ’ s an underlying sql database to contend with and it ’ s most likely not configured correctly ( or we wouldn ’ t be getting an error message like this—through a web interface and telling us exactly what ’ s there—in the first place ) ."
C,C,which of the following is a standard method for web servers to pass a user ’ s request to an application and receive data back to forward to the user ? a. ssi b. ssl c. cgi d. csi,"the correct answer is c. common gateway interface ( cgi ) is a standardized method for transferring information between a web server and an executable ( a cgi script is designed to perform some task with the data ) . cgi is considered a server-side solution because processing is done on the web server and not the client . because cgi scripts can run essentially arbitrary commands on your system with the permissions of the web server user and because they are almost always wrapped so that a script will execute as the owner of the script , they can be extremely dangerous if not carefully checked . additionally , all cgi scripts on the server will run as the same user , so they have the potential to conflict ( accidentally or deliberately ) with other scripts ( an attacker could , for example , write a cgi script to destroy all other attached databases ) ."
A,A,"an attacker performs a sql injection attack but receives nothing in return . she then proceeds to send multiple sql queries , soliciting true or false responses . which attack is being carried out ? a . blind sql injection b. sql denial of service c. sql code manipulation d. sql replay","the correct answer is a . blind sql injection is really kinda neat , even if you ’ re not a nerd . sometimes a security admin does just enough to frustrate efforts , and you don ’ t receive the error messages or returned information you originally counted on . so , to pull out the info you want , you start asking it ( the sql database ) a lot of true-or-false questions . for example , you could ask the database , “ true or false—you have a table called users ? ” if you get a true , then you know the table name and can start asking questions about it . for example , “ hey , database , got an entry in your users table named admin ? ” ( select * from users where name='admin ' and 1=1 ; # ' ; ) . blind sql injection is a long , laborious effort , but it can be done ."
A,A,a tester is attempting a cspp attack . which of the following is she most likely to use in conjunction with the attack ? a. ; b. : c. ‘ d. “ e. -- f. ~,"the correct answer is a. cspp ( connection string parameter pollution ) is another form of injection attack . in many web applications , communications with back-end databases make use of the semicolon to separate parameter requests . much as with url tampering , in cspp you just change the communication string and see what happens : add a semicolon , type in your request , and watch to see if it was successful ."
A,A,"an attacker is attempting to elevate privileges on a machine by using java or other functions , through nonvalidated input , to cause the server to execute a malicious piece of code and provide command-line access . which of the following best describes this action ? a . shell injection b . file injection c. sql injection d. url injection","the correct answer is a . when it comes to web application attacks , there are many vectors and avenues to take . one of the more common is injecting something into an input string to exploit poor code . ec-council defines these attacks in many ways . also known as command injection , shell injection is defined as an attempt to gain shell access using java or other functions . in short , the attacker will pass commands through a form input ( or other avenue ) in order to elevate privileges and open a shell for further malicious actions . it occurs when commands are entered into form fields instead of the expected entry ."
B,B,"an attacker is successful in using a cookie , stolen during an xss attack , during an invalid session on the server by forcing a web application to act on the cookie ’ s contents . how is this possible ? a . a cookie can be replayed at any time , no matter the circumstances . b. encryption was accomplished at the application layer , using a single key . c. authentication was accomplished using xml . d. encryption was accomplished at the network layer .","the correct answer is b . cookies can be used for many things . if you can grab all user cookies , you can see what they visited and sometimes even how long they ’ ve been there . cookies can also hold passwords—and because most people use the same password on multiple sites , this can be a gold mine for the attacker . in this scenario , the cookie is being replayedby an attacker to gain access . if a single key is used in encryption , a replay attack is possible , because cookie authentication is carried out at the application layer . it is for this reason some organizations require browsers to automatically delete cookies on termination ."
C,C,"html forms include several methods for transferring data back and forth . inside a form , which of the following encodes the input into the uniform resource identifier ( uri ) ? a . head b . put c. get d. post","the correct answer is c. an http get is a method for returning data from a form that “ encodes ” the form data to the end of the uri ( a character string that identifies a resource on the web , such as a page of text , a video clip , an image , or an application ) . for example , if you were to enter a credit card number in a form using get , the resulting url might look something like url where the long number is obviously a credit card number just sitting there waiting for anyone to use . generally speaking , a post is “ more secure ” than a get , although they both have their uses . if you ’ re wondering when a get should be used as opposed to a post , the answer has to do with a vocabulary lesson : defining the term idempotent . thrown about with http get , idempotent is a mathematical concept about an operation property : if the operation can be performed without changing results , even if it is run multiple times , it ’ s considered idempotent . therefore , if the input return is assured of having no lasting effect on the state of the form in total , then using a get is perfectly reasonable . also , a get can usually transfer only up to 8kb , whereas a post can usually handle up to 2gb . however , keep in mind it may wind up including sensitive information in that uri . suppose your form returns a credit card number and a bad guy is logging uris : if http get is in place , the attacker may be able to derive the information . in short , users can manipulate both get and post , but get is simply more visible because of its reliance on something that browsers render to the screen in an editable field . a post is meant for pushing data directly , and a get is used when the server is expected to pull something from the data submitted in the url ."
B,B,an attacker is looking at a target website and is viewing an account from the store on url url he next enters the following url : url and 1=1 the web page loads normally . he then enters the following url : url and 1=2 a generic page noting “ an error has occurred ” appears . which of the following is a correct statement concerning these actions ? a . the site is vulnerable to cross-site scripting . b . the site is vulnerable to blind sql injection . c. the site is vulnerable to buffer overflows . d. the site is not vulnerable to sql injection .,"the correct answer is b . the urls shown here are attempting to pass a sql query through to see what may be going on in the background . notice the first url entered added and 1=1 . because this was a true statement , the page loaded without problem . however , changing that to a false statement ( and 1=2 ) caused the database to return an error . this would now be considered “ blind ” sql injection because the actual error was not returned to the attacker ( instead , he got a generic page most likely configured by the database administrator ) . as an aside , sometimes the attacker won ’ t receive the error message or error page at all , but the site will be displayed differently—images out of place , text messed up , and so on—which also indicates blind sql may be in order ."
B,B,which of the following statements is not true regarding webgoat ? a. webgoat is maintained and made available by owasp . b. webgoat can be installed on windows systems only . c. webgoat is based on a black-box testing mentality . d. webgoat can use java or .net .,"the correct answer is b. webgoat , now in version 8.2.2 ( url category : owasp_webgoat_project ) , is a deliberately insecure web application maintained by owasp designed to teach web application security lessons . in each lesson , users must demonstrate their understanding of a security issue by exploiting a real vulnerability in the webgoat application . it ’ s designed to teach from a black-box mentality ( that is , learners aren ’ t provided with all information up front and must discover what they need to know to figure out each lesson , just as they ’ d have to do in the real world ) , can be installed on virtually anything , and makes use of java and .net ."
B,B,"an attacker is viewing a blog entry showing a news story and asking for comments . in the comment field , the attacker enters the following : nice post and a fun read < script > onload=window.location='url what is the attacker attempting to perform ? a . a sql injection attack against the blog ’ s underlying database b . a cross-site scripting attack c. a buffer overflow dos attack d. a file injection dos attack","the correct answer is b . this is a classic ( albeit overly simplified ) example of cross-site scripting . in a blog , the post entry field is intended to take text entry from a visitor and copy it to a database in the background . what ’ s being attempted here is to have more than just the text copied—the < script > indicator is adding a nice little pointer to a malicious website . if it works , the next visitor to the site who clicks that news story will be redirected to the bad site location ."
D,D,which of the following is one of the most common methods for an attacker to exploit the shellshock vulnerability ? a. ssh brute force b. csrf c. form field entry manipulation d. through web servers utilizing cgi ( common gateway interface ),"the correct answer is d. i would bet very large sums of cash you will see shellshock on your exam—maybe even a couple of times . shellshock ( also known as bashdoor ) exploits a feature in the bash shell designed to allow environmental variable setting configuration . basically , someone was playing around in bash back in 2014 and figured out they could add arbitrary commands to environmental variable configuration command-line submissions . if an attacker input something like env val= ' ( ) [ : ; } ; echo badcommand ' bash -c `` echo realcommand '' on a vulnerable system , badcommand would be executed before the real command . per symantec ( www.symantec.com/connect/blogs/shellshock-all-you-need-knowabout-bash-bug-vulnerability ) , “ the most likely route of attack is through web servers utilizing cgi ( common gateway interface ) , the widely used system for generating dynamic web content . an attacker can potentially use cgi to send a malformed environment variable to a vulnerable web server . because the server uses bash to interpret the variable , it will also run any malicious command tacked on to it. ” other avenues for shellshock exploitation include the following : • openssh the “ force command ” function ( where a fixed command is run when a user logs on , even if the user requested a different command ) can be exploited in shellshock . • dhcp some dhcp clients have the capability of passing commands to the bash shell—for example , during connection to a wi-fi network . this can be exploited in shellshock . • qmail if bash is used to process e-mail messaging , the server processes external input in a way that can be exploited in bash ."
D,D,you are examining website files and find the following text file : # robots.txt for url user-agent : googlebot disallow : /tmp/ user-agent : * disallow : / disallow : /private.php disallow : /listing.html which of the following is a true statement concerning this file ? a . all web crawlers are prevented from indexing the listing.html page . b . all web crawlers are prevented from indexing all pages on the site . c. the googlebot crawler is allowed to index pages starting with /tmp/ . d. the googlebot crawler can access and index everything on the site except for pages starting with /tmp/ .,"the correct answer is d. the robots.txt file was created to allow web designers to control index access to their sites . there are a couple of things you need to know about this file—for your exam and the real world . the first is , no matter what the robots.txt file says , attackers using a crawler to index your site are going to ignore it anyway : it ’ s valid only for “ good-guy ” crawlers . after that , the rest is easy : robots.txt is stored on the root , is available to anyone ( by design ) , and is read in order from top to bottom , much like an acl on a router . the format is simple : define the crawler ( user-agent : name_ of_crawler ) , and then define what it does not have access to . most robot.txt files will make use of the * variable to signify all crawlers , but you can certainly get specific with who is allowed in and what they can see . in this example , from top to bottom , the googlebot crawler is defined and restricted from seeing /tmp/ pages—no other restrictions are listed . after that , all other crawlers ( user-agent : * ) are restricted from seeing any page ( disallow : / ) . the last two lines are truly irrelevant because the condition to ignore all pages has been read . for additional information here , if you think about what a robots.txt file does , you could consider it a pointer to pages you , as an attacker , really want to see . after all , if the security person on the site didn ’ t want google indexing it , useful information probably resides there . on the flip side , a security-minded person may get a little snippy with robots.txt and have a little fun , sending you to some truly terrible internet locations should you try to access one of the pages listed there ."
D,D,which of the following is a true statement ? a. kismet can be installed on windows but not on linux . b. netstumbler can be installed on linux but not on windows . c. kismet can not monitor traffic on 802.11n networks . d. netstumbler can not monitor traffic on 802.11n networks .,"the correct answer is d. not only is this question overly confusing and very tool specific , it ’ s pretty much exactly the type of question you ’ ll see on your exam . kismet and netstumbler are both wireless monitoring tools with detection and sniffing capabilities . netstumbler is windows specific , whereas kismet can be installed on virtually anything . both do a great job of monitoring 802.11a , b , and g networks , but netstumbler can ’ t handle 802.11n . kismet can even be used as an ids for your wireless network ! one last fun fact to know in relation to this question—kismet does a better job of pulling management packets . a lot of wireless cards on windows systems don ’ t support monitor mode and have a difficult time pulling management and control packets ."
"B,C","B,C",which of the following use a 48-bit initialization vector ? ( choose all that apply . ) a. wep b. wpa c. wpa2 d. wep2,"the correct answer is b , c. one of the improvements from wep to wpa involved extending the initialization vector ( iv ) to 48 bits from 24 bits . while this may seem like a simple doubling of options , you ’ ve got to remember each additional bit exponentially increases the keyspace . an iv provides for confidentiality and integrity . wireless encryption algorithms use it to calculate an integrity check value ( icv ) , appending it to the end of the data payload . the iv is then combined with a key to be input into an algorithm ( rc4 for wep , aes for wpa2 ) . therefore , because the length of an iv determines the total number of potential random values that can possibly be created for encryption purposes , doubling to 48 bits increased overall security . by itself , this didn ’ t answer all security problems—it only meant it took a little longer to capture enough iv packets to crack the code . however , combined with other steps , it did provide for better security ."
"B,D","B,D",which of the following are true statements ? ( choose all that apply . ) a. wep uses shared-key encryption with tkip . b. wep uses shared-key encryption with rc4 . c. wpa2 uses shared-key encryption with rc4 . d. wpa uses tkip and aes encryption .,"the correct answer is b , d. wep uses a 24-bit initialization vector and rc4 to “ encrypt ” data transmissions , although saying that makes me shake in disgust because it ’ s really a misnomer . wep was designed as basic encryption merely to simulate the “ security ” of being on a wired network—hence , the “ equivalent ” part in wired equivalent privacy . it was never intended as true encryption protection . wpa was an improvement on two fronts . first , the shared key portion of encryption was greatly enhanced by the use of temporal key integrity protocol ( tkip ) . in short , the key used to encrypt data was made temporary in nature and is swapped out every 10,000 packets or so . additionally , wpa2 uses nist-approved encryption with aes as the algorithm of choice ."
A,A,which of the following would you recommend as a means to deny network access by unauthorized wireless devices to network assets ? a. wireless access control list b. wireless jammer c. wireless analyzer d. wireless access point,"the correct answer is a . of the choices provided , the access control list is the only one that makes sense . this is what exactly what an access control list is designed for : by making sure only devices that are authorized can connect , you ensure unauthorized devices can not connect ( or at least take steps to avoid their connection ) . as a side note here , be careful not to confuse a wireless intrusion prevention system ( wips ) with the acl . a wips will monitor your traffic and , just like the better-known network intrusion prevention system , will take steps to prevent intrusion based on traffic analysis , thresholds , and alerts . lastly , on questions like this , the process of elimination can help you discern the answer pretty easily ."
B,B,"while on vacation , joe receives a phone call from his identity alert service notifying him that two of his accounts have been accessed in the past hour . earlier in the day , he did connect a laptop to a wireless hotspot at mcdonald ’ s and accessed the two accounts in question . which of the following is the most likely attack used against joe ? a . unauthorized association b. honeyspot access point c. rogue access point d. jamming signal","the correct answer is b . sometimes ec-council creates and uses redundant terminology , so don ’ t blame me for this insanely annoying jewel . in this case , joe most likely connected to what he thought was the legitimate mcdonald ’ s free wi-fi while he was getting his morning coffee and checked the accounts in question . however , an attacker in ( or close to ) the restaurant had set up another wireless network using the same ssid as the restaurant ’ s . this practice is known as the honeyspot attack ."
B,B,"an attacker is attempting to crack a wep code to gain access to the network . after enabling monitor mode on wlan0 and creating a monitoring interface ( mon 0 ) , she types this command : aireplay –ng -0 0 –a 0a:00:2b:40:70:80 –c mon0 what is she trying to accomplish ? a . to gain access to the wep access code by examining the response to deauthentication packets , which contain the wep code b . to use deauthentication packets to generate lots of network traffic c. to determine the bssid of the access point d. to discover the cloaked ssid of the network","the correct answer is b . within 802.11 standards , there are several different management-type frames in use : everything from a beacon and association request to a probe request . one of these management frames is a deauthentication packet , which basically shuts off a client from the network . the client then has to reconnect—and will do so quickly . the idea behind this kind of activity is to generate lots of traffic to capture in order to discern the wep access code ( from clients trying to reassociate to all the new arp packets that will come flying around , since many machines will dump their arp cache after being shut off the network ) . remember that the initialization vectors within wep are relatively short ( 24 bits ) and are reused frequently , so any attempt to crack the code requires , in general , around 15,000 or so packets . you can certainly gather these over time , but generating traffic can accomplish it much faster . one final note on this must be brought up : this type of attack can just as easily result in a denial-of-service attack against hosts and the ap in question , so be careful ."
C,C,which wireless standard works at 54mbps on a frequency range of 2.4ghz ? a . 802.11a b . 802.11b c. 802.11g d. 802.11n,"the correct answer is c. the 802.11 series of standards identifies a variety of wireless issues , such as the order imposed on how clients communicate , rules for authentication , data transfer , size of packets , how the messages are encoded into the signal , and so on . 802.11g combines the advantages of both the “ a ” and “ b ” standards without as many of the drawbacks . it ’ s fast ( at 54mbps ) , is backward compatible with 802.11b clients , and doesn ’ t suffer from the coverage area restrictions 802.11a has to contend with . considering it operates in the 2.4ghz range , however , there may be some interference issues to deal with . not only is a plethora of competing networks blasting their signals ( sometimes on the same channel ) near and around your network , but you also have to consider bluetooth devices , cordless phones , and even baby monitors that may cause disruption ( due to interference ) of wireless signals . also , microwave ovens happen to run at 2.45ghz—right smack dab in the middle of the range ."
